Episode,Total Reward,Epsilon,Avg Loss
304,589.53,0.092,0.5064
305,377.84,0.167,0.4547
306,743.54,0.113,0.3309
307,404.43,0.206,0.3789
308,186.85,0.332,0.4767
309,65.24,0.325,0.5354
310,170.30,0.378,0.4002
311,175.92,0.363,0.4015
312,260.43,0.281,0.4180
313,33.16,0.367,0.4211
314,225.53,0.297,0.4562
315,126.13,0.371,0.3818
316,454.50,0.065,0.3636
317,779.21,0.050,0.3468
318,162.58,0.280,0.3055
319,323.30,0.207,0.3921
320,44.86,0.050,0.4027
321,100.07,0.373,0.4028
322,309.44,0.242,0.4002
323,252.64,0.258,0.3349
324,200.64,0.297,0.2976
325,65.35,0.324,0.4794
326,430.35,0.200,0.4254
327,311.00,0.302,0.4337
328,198.78,0.248,0.4124
329,172.33,0.335,0.4289
330,1259.52,0.051,0.3572
331,252.49,0.257,0.4422
332,18.69,0.444,0.7083
333,766.86,0.134,0.5230
334,716.71,0.078,0.5408
335,1344.85,0.050,0.5352
336,229.88,0.335,0.6128
337,144.62,0.354,0.6841
338,51.97,0.360,0.6820
339,540.46,0.131,0.5523
340,102.02,0.340,0.6411
341,565.43,0.142,0.4742
342,60.36,0.392,0.5247
343,372.85,0.214,0.5629
344,744.45,0.061,0.6295
345,1602.96,0.050,0.4994
346,397.59,0.185,0.4249
347,297.34,0.264,0.5716
348,124.50,0.302,0.4584
349,579.79,0.163,0.4279
350,1017.71,0.050,0.4708
351,455.92,0.121,0.4197
352,101.59,0.392,0.6740
353,707.90,0.105,0.4587
354,249.14,0.177,0.5300
355,532.70,0.200,0.4590
356,327.86,0.200,0.5264
357,448.13,0.197,0.4844
358,402.16,0.193,0.5531
359,122.14,0.324,0.4866
360,278.09,0.204,0.5548
361,138.87,0.340,0.6259
362,185.73,0.299,0.6917
363,538.45,0.153,0.6182
364,937.02,0.050,0.5812
365,742.24,0.094,0.4626
366,843.98,0.090,0.6147
367,358.24,0.180,0.6402
368,622.67,0.126,0.5213
369,256.34,0.170,0.5385
370,59.69,0.460,0.3064
371,348.04,0.226,0.4952
372,534.71,0.100,0.6438
373,58.97,0.367,0.7263
374,465.98,0.050,0.5782
375,38.04,0.358,0.5726
376,1022.46,0.059,0.5615
377,357.90,0.050,0.5813
378,190.33,0.240,0.4658
379,288.71,0.145,0.6234
380,394.89,0.126,0.5424
381,45.68,0.177,0.8947
382,335.23,0.137,0.6793
383,142.77,0.332,0.5491
384,595.99,0.132,0.5771
385,264.33,0.264,0.6147
386,93.55,0.354,0.4711
387,69.27,0.374,0.5490
388,1871.06,0.050,0.6174
389,106.39,0.367,0.6697
390,251.69,0.247,0.6100
391,308.35,0.265,0.7551
392,700.43,0.130,0.5849
393,1324.46,0.050,0.6775
394,271.44,0.255,0.6744
395,1313.24,0.050,0.6871
396,75.44,0.412,0.6599
397,264.00,0.194,0.7313
398,50.78,0.388,0.7136
399,135.91,0.314,0.7123
400,110.83,0.358,0.6085
401,2132.12,0.050,0.7520
402,150.00,0.402,0.7054
403,322.71,0.262,0.6313
404,578.48,0.164,0.7129
405,315.44,0.242,0.6593
406,2184.18,0.050,0.6469
407,52.12,0.287,0.6623
408,318.21,0.236,0.8251
409,51.20,0.498,0.7399
410,153.00,0.330,0.8564
411,79.06,0.327,0.7552
412,553.29,0.168,0.5487
413,208.81,0.327,0.7831
